feature013,feature017,feature019,feature035,feature037,feature044,feature046,feature049,feature051,feature054,feature055,feature058,feature093,feature094,feature096,feature101,feature102,feature105,feature106,feature107,feature148,feature154,feature173,feature175,feature197,feature202,feature239,feature240,feature245,feature252,feature279,feature283,feature289,feature308,feature310,feature333,feature338,feature377,feature378,feature383,feature390,feature545,feature579,feature582,feature587,feature590
199.3001,10.614,188.6861,50.215,49.785,348.4982,134.4545,137.3409,620.2936,4.61,4.849,0.9506,0.005,-0.0044,0.0002,0.0001,0.0001,0.0,-0.005,0.0044,0.0101,0.0062,0.2871,0.2871,6.1,6.1,0.0051,0.0029,0.0009832969679745155,0.0006,0.0014,0.0035,0.002,0.1094,0.1094,1.9011,1.9011,0.0016,0.0011,0.0005724763106037239,0.0002,0.0026,0.028558788915853908,81.34559984716414,0.0291,81.3456
197.3447,9.6066,187.7381,50.4775,49.5225,368.77,144.2836,132.9627,646.0164,4.648,4.889,0.9506,0.002,-0.0025,0.0,-0.0005,-0.0001,0.0008,-0.0021,0.0025,0.0165,0.0141,0.2536,0.2536,10.62,10.62,0.0035,0.004,0.0023,0.001,0.001,0.0055,0.0043,0.0966,0.0966,3.2887,3.2887,0.0011,0.0014,0.0007,0.0004,0.0022416851598522376,0.0149,107.2427,0.0149,107.2427
201.8757,10.5391,191.3366,50.3421,49.6579,362.3273,149.1491,135.5109,646.9873,4.55,4.794,0.9492,0.0016264744572355022,0.0026,-0.0001,-0.0003,0.00011394428294227708,0.0005,-0.00166033496942114,-0.0025,0.023721478994438532,0.014877713323467032,0.4484,0.4484,10.64,10.64,0.0069,0.0037,0.0008023711451814839,0.0008404816127140608,0.0009,0.007775753315888858,0.004732926716240079,0.1794,0.1794,2.798,2.798,0.0023,0.0012,0.0002597891790330261,0.0002997813316308501,0.0026,0.0056,127.2483,0.0056,127.2483
199.4865,9.6426,189.8439,50.3999,49.6001,350.0873,132.3436,134.3455,616.7764,4.584,4.814,0.9523,-0.0001,-0.0013,3.727958834772718e-05,0.0001,7.603458056397656e-05,0.0006,0.0001,0.0013,0.0061,0.0058,0.3812,0.3812,6.77,6.77,0.0046,0.0029,0.0027244461331713135,0.000789039074768721,0.001,0.002,0.002,0.1579,0.1579,2.0387,2.0387,0.0016,0.0009,0.0006571609706141086,0.00029852626775939584,0.0026,0.02729067957657827,51.906700367768785,0.0274,51.9067
197.7375,9.9427,187.7949,50.124,49.876,352.9045,131.9909,148.5873,633.4827,4.625,4.848,0.9541,0.0021,0.0003,0.0001,-0.0001,0.0,-0.0003,-0.0021,-0.0003,0.0155,0.0149,0.1596,0.1596,10.75,10.75,0.0066,0.0057,0.0014396364911991664,0.0011,0.0013,0.005,0.0048,0.0669,0.0669,3.3387,3.3387,0.002,0.002,0.00047662789078418283,0.0004,0.0026,0.025879508626156844,44.368600149751344,0.0263,44.3686
202.0977,9.4463,192.6515,50.6411,49.3589,346.7336,135.0509,146.7136,628.4982,4.544,4.777,0.9511,0.0016,0.0018,0.0002,0.0005,-0.0001,0.0004,-0.0016,-0.0018,0.016,0.0144,0.2796,0.2797,14.4,14.4,0.003,0.0034,0.0015,0.001116008895447452,0.0011,0.0051,0.0045,0.1187,0.1187,3.936,3.936,0.0011,0.0013,0.0004,0.0003605305446157175,0.0022,0.02408707713753025,41.07820029721897,0.0243,41.0782
201.8187,8.8194,192.9993,50.6086,49.3914,363.3791,131.5409,143.6836,638.6036,4.582,4.832,0.9482,0.0035,-0.0003,0.0,0.0006,-0.0002,-0.0006,-0.0035,0.0003,0.0098,0.006,0.3265,0.3265,6.94,6.94,0.0025,0.0049,0.0013,0.0005,0.0012,0.0035,0.002,0.1298,0.1298,2.2248,2.2248,0.0008,0.0018,0.0004,0.0001,0.0024,0.0157,51.5105,0.0157,51.5105
201.9649,9.9824,191.9825,50.4373,49.5627,359.5491,133.5273,145.0155,638.0918,4.635,4.862,0.9532,-0.0035,-0.0008,0.0001,0.0005,-0.0004,-0.00016829932607270574,0.0035,0.0009,0.0089,0.0044,0.3572,0.3572,4.75,4.75,0.005,0.0053,0.002417371769529846,0.0018,0.0009,0.003,0.0015,0.1297,0.1297,1.5973,1.5973,0.0019,0.0018,0.0007532717399392225,0.0007,0.0026,0.0032,56.91833923766605,0.0032,56.91833938877592
198.2289,10.7177,187.5112,50.2987,49.7013,358.9764,124.9991,147.7673,631.7427,4.544,4.782,0.9502,0.0023,-0.0004,8.151843541387253e-05,0.0,0.0,0.0003,-0.0022,0.0004,0.0203,0.0123,0.2885,0.2885,9.01,9.01,0.0041,0.0042,0.002471330608625413,0.0012,0.0009,0.0068,0.004,0.1137,0.1137,2.4717,2.4717,0.0016,0.0013,0.0006574822779346172,0.0004,0.0026,0.01931236727364924,58.56649991327591,0.0199,58.5665
200.5169,10.2697,190.2472,50.4244,49.5756,362.0909,140.7591,139.2491,642.0991,4.56,4.816,0.9467,0.0009,-0.0004,0.0,-0.0001,-0.0002,0.0005,-0.001,0.0003,0.0211,0.0196,0.2374,0.2374,12.08,12.08,0.0038,0.005,0.002468671536351435,0.0011028005431915143,0.0009,0.0071,0.0064,0.1017,0.1017,3.3922,3.3922,0.0012,0.0017,0.0004454451777346439,0.0003639770503413261,0.0026,0.0128945053255978,93.63276602546209,0.0123,93.63276577933202
