feature093,feature095,feature096,feature101,feature102,feature104,feature105,feature106,feature110,feature113,feature117,feature120,feature132,feature144,feature148,feature154,feature173,feature175,feature220,feature223,feature228,feature240,feature245,feature248,feature255,feature283,feature289,feature308,feature310,feature358,feature361,feature366,feature367,feature368,feature369,feature377,feature378,feature383,feature386,feature390,feature543,feature545,feature581,feature583,feature585,feature589
-0.0011,0.0,0.0002,0.0004,-0.0001,-0.0079,0.0,0.0011,0.9813,0.46676,0.991,0.9667,0.9954,0.0036,0.0185,0.0113,0.2731,0.273,0.0016,0.0027,0.0146,0.0029,0.0012,0.01888,0.0195,0.0061,0.0038,0.1017,0.1016,0.0005,0.0008,0.0044,0.0031,0.0028,0.0036,0.0019,0.0012,0.0003,0.0045,0.0002,0.1137,0.0024,0.00598,0.5031,0.0038,0.0054
0.0019,-0.0001,0.0,0.0001,-0.0001,-0.0095,-0.0001,-0.0019,0.9787399999999999,0.465,0.9908,0.9769,0.9988,0.0058,0.0151,0.0121,0.3622,0.3622,0.0029,0.0012,0.0115,0.0052,0.00206,0.0149,0.0053,0.0049,0.0038,0.1414,0.1414,0.0009,0.0003,0.0038,0.0052,0.003,0.0025,0.0017,0.0019,0.00044,0.0046,0.0002,0.1096,0.0026,0.0036999999999999997,0.5043,0.0042,0.0083
0.003,0.0,0.0,-0.0005,0.0001,-0.0116,0.0006,-0.0031,0.98138,0.457,0.9904,0.9659,1.0,0.0039,0.0062,0.0052,0.3306,0.3306,0.0044,0.003,0.0206,0.0036,0.00194,0.02,0.0229,0.0021,0.0017,0.1355,0.1355,0.0013,0.0011,0.0048,0.0036,0.0038,0.0023,0.002,0.0012,0.0006,0.0066,0.0004,0.1096,0.0026,0.006059999999999999,0.4964,0.0031,0.0102
-0.0007,-0.0001,0.0,-0.0005,0.0,-0.0141,0.0011,0.0007,0.98,0.46396,0.99078,0.9643,1.0,0.0055,0.0203,0.0148,0.3889,0.389,0.0013,0.0011,0.0141,0.0032,0.0014,0.026039999999999997,0.0159,0.0069,0.0049,0.1532,0.1533,0.0004,0.0003,0.0039,0.0033,0.0031,0.0024,0.0022,0.0011,0.0005,0.006659999999999999,0.00031999999999999997,0.1116,0.0024,0.0053,0.5021,0.0041,0.0053
0.001,0.0001,0.0,0.0001,0.0001,-0.0088,0.0001,-0.001,0.97956,0.46212,0.9906,0.9803,0.9957,0.0044,0.0292,0.0143,0.2517,0.2517,0.0029,0.0104,0.011,0.0061,0.0016,0.018340000000000002,0.0052,0.0097,0.0047,0.0941,0.0941,0.001,0.0034,0.0031,0.0028,0.0027,0.0025,0.0012,0.002,0.0005200000000000001,0.007740000000000001,0.0002,0.1143,0.0024,0.0039000000000000007,0.5022,0.0033799999999999998,0.0091
-0.0024,0.0,0.0002,0.0002,0.0001,-0.0031,-3.999999999999999e-05,0.0024,0.9796799999999999,0.46432,0.9906200000000001,0.976,0.9969,0.0051,0.0209,0.0117,0.3244,0.3244,0.0037,0.008,0.0171,0.0044,0.00196,0.0545,0.0061,0.0078,0.0043,0.1316,0.1316,0.0012,0.0024,0.0047,0.0042,0.0033,0.0039,0.0018,0.0013,0.0006000000000000001,0.0155,0.00036,0.1096,0.0026,0.0087,0.5001,0.0034,0.0087
-2.000000000000014e-05,-0.0001,-0.0001,0.0004,-0.0003,-0.0045,0.0002,0.00028,0.98116,0.46498,0.9908,0.9628,1.001,0.0041,0.024,0.0126,0.3053,0.3053,0.003,0.0004,0.0227,0.0031,0.00184,0.03858,0.0214,0.008,0.004,0.1354,0.1354,0.001,0.0001,0.0063,0.0077,0.0052,0.0027,0.0025,0.0012,0.00041999999999999996,0.00792,0.0002,0.1096,0.0026,0.00358,0.49976000000000004,0.00392,0.0044
-0.0028,-0.0001,0.0,-0.0001,-0.0001,-0.014,0.0001,0.0027,0.9832,0.46152,0.9893,0.9806,0.998,0.0049,0.0342,0.0127,0.2113,0.2113,0.00344,0.0018,0.0201,0.0039,0.0024,0.0186,0.0019,0.0121,0.0045,0.0907,0.0907,0.0010200000000000003,0.0005,0.0066,0.0029,0.0029,0.002,0.0016,0.0013,0.0007,0.00792,0.0004,0.11,0.0021,0.00422,0.4971,0.0027,0.0028
-0.0039,-0.0001,0.0002,-2.000000000000001e-05,0.0002,-0.0126,0.0003,0.0039,0.9803200000000001,0.46606000000000003,0.9914,0.9724,0.9988,0.0029,0.027,0.0189,0.3789,0.3789,0.0044,0.0054,0.016819999999999998,0.0054,0.00264,0.027639999999999998,0.0186,0.0092,0.0066,0.1428,0.1428,0.0013,0.0017,0.004399999999999999,0.006,0.006,0.0052,0.0008,0.0019,0.00066,0.00736,0.0002,0.1096,0.0026,0.00402,0.4934,0.0048,0.004
0.001,0.0001,0.0,0.0004,0.0001,-0.0083,0.0005,-0.001,0.9794599999999999,0.4641,0.9907,0.9784,0.9979,0.0029,0.0181,0.0103,0.294,0.2941,0.0027,0.001,0.0103,0.0031,0.00262,0.0252,0.0043,0.0059,0.0034,0.1211,0.1212,0.0008,0.0003,0.003,0.0033,0.0032,0.0019,0.0016,0.001,0.0007,0.0055,0.0002,0.1096,0.0026,0.0054,0.5003,0.0029,0.0054
-0.0023,-0.0002,0.0001,-0.0001,-0.0002,-0.0117,0.0005,0.0022,0.9789999999999999,0.46428,0.989,0.9799,0.9981,0.0066,0.0134,0.0126,0.2537,0.2537,0.0018,0.0009,0.0153,0.005,0.00202,0.029199999999999997,0.0056,0.0045,0.004,0.1087,0.1087,0.0006,0.0003,0.0045,0.0042,0.0039,0.003,0.0016,0.0015,0.00068,0.0097,0.0004,0.1148,0.0021,0.0032,0.4996,0.004,0.0032
0.0056,-0.0003,0.0,0.0001,-0.0004,-0.0062,0.00034,-0.0056,0.97826,0.4647,0.9922,0.971,0.9974,0.0044,0.0203,0.0146,0.4189,0.4189,0.00334,0.0011,0.0256,0.0046,0.0021000000000000003,0.02298,0.023,0.0067,0.0047,0.1608,0.1608,0.00102,0.0004,0.0086,0.00426,0.0058,0.0026,0.001,0.0015,0.00056,0.00594,0.0001,0.1096,0.0026,0.00546,0.5004,0.0046,0.006
-0.0012,-0.0003,0.0,-0.0005,-0.0003,-0.0134,0.0002,0.0012,0.9763,0.4655600000000001,0.991,0.9632,0.9985,0.0067,0.0222,0.0107,0.3487,0.3487,0.002,0.0028,0.0165,0.0059,0.0039,0.0,0.0223,0.0074,0.0035,0.1512,0.1512,0.0008,0.0008,0.0049,0.0053,0.00422,0.0043,0.0009,0.002,0.0011,0.0,0.0002,0.1137,0.0023,0.0043,0.5022,0.0027,0.0028
0.0037,0.0,0.00016,-1.6263032587282566e-20,0.0002,-0.011,-0.0002,-0.0037,0.97782,0.4617,0.9909,0.972,0.9988,0.0069,0.0072,0.0053,0.383,0.383,0.0016,0.00238,0.016239999999999997,0.0054,0.002,0.0226,0.0178,0.0023,0.0016,0.1532,0.1532,0.0006,0.0008200000000000001,0.00472,0.0036,0.0027199999999999998,0.0056,0.0016,0.0018,0.00058,0.0056,0.0003,0.1096,0.0026,0.004540000000000001,0.5006,0.0018,0.00388
