feature013,feature017,feature019,feature035,feature037,feature054,feature055,feature057,feature058,feature061,feature063,feature069,feature071,feature093,feature095,feature096,feature102,feature106,feature110,feature117,feature144,feature148,feature173,feature175,feature197,feature202,feature223,feature239,feature240,feature252,feature283,feature308,feature310,feature333,feature338,feature358,feature361,feature366,feature377,feature378,feature383,feature390,feature545,feature579,feature585,feature587
200.2759,10.0759,190.2,50.6667,49.3333,4.582,4.849,0.9318,0.9449,347.9409,124.1945,146.8164,618.9518,-0.0011,0.0,0.0002,-0.0001,0.0011,0.9813,0.991,0.0036,0.0185,0.2731,0.273,8.313001894453823,8.313001797005594,0.0027,0.0054,0.0029,0.0006,0.0061,0.1017,0.1016,4.5904,4.5904,0.0005,0.0008,0.0044,0.0019,0.0012,0.0003,0.0002,0.0024,0.018455527956469202,0.0038,0.0184
204.7282,9.6397,195.0885,50.5767,49.4233,4.606,4.869,0.9288,0.9459,355.0845,119.8155,151.3764,626.2764,0.0019,-0.0001,0.0,-0.0001,-0.0019,0.9793075806985495,0.9908,0.0058,0.0151,0.3622,0.3622,8.46,8.46,0.0012,0.0056,0.0052,0.0006,0.0049,0.1414,0.1414,3.1153,3.1153,0.0009,0.0003,0.0038,0.0017,0.0019,0.0007257439693168556,0.0002,0.0026,0.010836133026505122,0.0042,0.0106
198.5017,10.0276,188.4741,50.465,49.535,4.588,4.846,0.9352,0.9468,348.5609,110.7573,148.5364,607.8545,0.003,0.0,0.0,0.0001,-0.0031,0.9748544740795319,0.9904,0.0039,0.0062,0.3306,0.3306,8.1,8.1,0.003,0.0067,0.0036,0.001,0.0021,0.1355,0.1355,2.1096,2.1096,0.0013,0.0011,0.0048,0.002,0.0012,0.0010601575308698736,0.0004,0.0026,0.016492823929002226,0.0031,0.0165
202.5799,9.5713,193.0086,50.6848,49.3153,4.582,4.84,0.9331,0.9466,352.7136,114.8609,150.7164,618.2909,-0.0007,-0.0001,0.0,0.0,0.0007,0.98,0.9903530160308115,0.0055,0.0203,0.3889,0.389,4.16,4.16,0.0011,0.0062,0.0032,0.0010085523817694986,0.0069,0.1532,0.1533,1.4614,1.4614,0.0004,0.0003,0.0039,0.0022,0.0011,0.0005,0.0003364277259098352,0.0024,0.0276,0.0041,0.0276
203.0609,9.6912,193.3697,50.2823,49.7177,4.601,4.837,0.9327,0.9512,353.4036,116.7873,143.0127,613.2036,0.001,0.0001,0.0,0.0001,-0.001,0.9778469189552669,0.9906,0.0044,0.0292,0.2517,0.2517,7.095454419099495,7.095454401679111,0.0104,0.004,0.0061,0.0005,0.0097,0.0941,0.0941,2.06842998253489,2.0684299763555263,0.001,0.0034,0.0031,0.0012,0.002,0.0006976608310376277,0.0002,0.0024,0.04051901115522277,0.003546088063868748,0.0406
200.1743,10.1235,190.0507,50.2849,49.7151,4.537,4.758,0.9238,0.9536,357.1927,106.6736,142.9691,606.8355,-0.0024,0.0,0.0002,0.0001,0.0024,0.979271100841056,0.9914173277401641,0.0051,0.0209,0.3244,0.3244,3.75,3.75,0.008,0.0054,0.0044,0.0008300001251986278,0.0078,0.1316,0.1316,1.4111,1.4111,0.0012,0.0024,0.0047,0.0018,0.0013,0.000602072259374985,0.00025126981157389726,0.0026,0.0354,0.0034,0.0354
201.9424,10.3387,191.6037,50.248,49.752,4.624,4.894,0.9298,0.9449,355.0809,113.49999181228888,146.6636,615.2443975124006,0.0019150530547390188,-0.0001,-0.0001,-0.0003,-0.0013657286939094126,0.9773369634278881,0.9908,0.0041,0.024,0.3053,0.3053,5.52,5.52,0.0004,0.0067,0.0031,0.0006,0.008,0.1354,0.1354,1.6216,1.6216,0.001,0.0001,0.0063,0.0025,0.0012,0.0004229987623212534,0.0002,0.0026,0.020306900413164547,0.0036775172991055753,0.0202
199.7826626876017,9.9285,189.85414471681452,50.649,49.351,4.605,4.866,0.9312,0.9463,348.7673,123.0118,148.94,620.7191,-0.0028,-0.0001,0.0,-0.0001,0.0027,0.9832,0.9893,0.0049,0.0342,0.2113,0.2113,12.73,12.73,0.0018,0.0049,0.0039,0.001,0.0121,0.0907,0.0907,3.3331,3.3331,0.0009697622684387399,0.0005,0.0066,0.0016,0.0013,0.0007,0.0004,0.0021,0.012158978556508972,0.0027,0.0122
198.8523,9.9346,188.9177,50.4579,49.5421,4.581,4.808,0.9367,0.9528,350.7027,111.8373,146.2582,608.7982,-0.0039,-0.0001,0.0002,0.0002,0.0039,0.9792265503223871,0.9914,0.0029,0.027,0.3789,0.3789,5.97,5.97,0.0054,0.0025,0.0054,0.0008,0.0092,0.1428,0.1428,1.6523,1.6523,0.0013,0.0017,0.004615174214344736,0.0008,0.0019,0.0007196405381261982,0.0002,0.0026,-0.0009395183022490039,0.0048,-0.0012
198.7199,10.7265,187.9935,50.4338,49.5663,4.594,4.83,0.9354,0.9511,350.2582,111.0482,152.3545,613.6609,0.001,0.0001,0.0,0.0001,-0.001,0.9766083619788759,0.9907,0.0029,0.0181,0.294,0.2941,3.72,3.72,0.001,0.0054,0.0031,0.0007,0.0059,0.1211,0.1212,1.2465,1.2465,0.0008,0.0003,0.003,0.0016,0.001,0.0008651953694462059,0.0002,0.0026,0.0238,0.0029,0.0238
